id_client,vârstă,înălțime_cm,greutate_kg,venit,gen,oraș,segment,data_inscriere
1,39.0,177.9,76.8,2501.0,M,București,C,2021-06-06
2,55.0,164.8,55.6,2949.0,F,bUCUREȘTI,B,2019-06-03
3,25.0,170.2,68.7,2703 EUR,F,Cluj,A,2023-09-14
4,69.0,167.6,74.2,3415.0,F,,B,2017-09-30
5,55.0,177.3,77.6,3997.0,M,Timișoara,A,2015-07-31
6,139.0,190.7,109.7,3410.0,M,Timișoara,B,2024-02-06
7,39.0,156.5,55.6,,F,Timișoara,B,2022-05-14
8,59.0,186.9,96.5,2782.0,F,București,C,2019-12-27
9,44.0,177.9,75.5,3155.0,F,Timișoara,C,2016-09-05
10,49.0,159.5,45.0,2865.0,M, timișoara,B,2024-07-21
11,48.0,179.6,85.1,3108.0,M,Cluj,A,2021-05-31
12,69.0,180.1,74.8,3707.0,M,CLUJ,A,2024-03-29
13,27.0,178.3,71.9,-2898,M,București,B,2020-02-11
14,56.0,167.6,55.9,3362.0,M,Cluj,A,2022-09-17
15,61.0,171.9,68.6,3668.0,F,Timișoara,A,2018-06-28
16,28.0,179.3,86.8,2989.0,F,Cluj,B,2020-06-11
17,57.0,173.7,59.7,3900.0,F,Cluj,A,2024-02-18
18,38.0,175.1,66.0,2954.0,M, timișoara,B,2016-01-21
19,22.0,152.2,60.2,3166.0,M,Timișoara,A,2018-01-12
20,72.0,162.7,59.9,3650.0,M,Cluj,B,2017-10-26
21,58.0,158.5,59.7,3.305,F,Timișoara,B,2023-02-03
22,72.0,182.6,68.5,4283.0,F,Timișoara,C,2021-02-09
23,22.0,167.0,45.7,1.914,F,București,C,2019-06-27
24,39.0,165.2,63.8,2465.0,,Timișoara,A,2023-10-18
25,44.0,169.9,70.6,3290.0,F,Cluj,A,2025-01-28
26,62.0,152.4,45.0,,M,Cluj,B,2018-10-29
27,24.0,168.2,66.4,,M,București,A,2023-04-09
28,41.0,170.5,76.4,2.517,F,București,B,2022-06-04
29,23.0,176.8,82.8,2387.0,M,Cluj ,B,2016-05-10
30,68.0,165.9,49.4,3365.0,M,București,B,2015-05-19
31,,165.1,75.0,3614.0,F,Timișoara,A,2020-02-19
32,69.0,172.0,68.4,3759.0,F,Cluj,B,2022-03-11
33,121.0,178.7,74.8,3.857,M,București,B,2017-11-13
34,27.0,153.7,60.9,3146.0,M,Timișoara,C,2019-04-25
35,48.0,182.4,81.3,2248.0,M, timișoara,C,2025-05-16
36,70.0,178.3,81.2,3709.0,M,Cluj,C,2020-06-29
37,70.0,161.9,76.0,2702.0,M,Cluj,B,2024-07-01
38,61.0,173.3,70.9,3333.0,F,Cluj,A,2025-05-19
39,20.0,163.1,45.0,1497.0,M,Cluj,C,2022-07-17
40,41.0,158.8,46.6,,M,București,C,2021-12-16
41,24.0,172.5,73.2,1735.0,F,cluj,C,2023-11-10
42,37.0,171.0,70.3,2345.0,F,Cluj,A,2016-02-01
43,73.0,179.4,79.7,,F,Timișoara,A,2023-03-09
44,30.0,167.4,71.8,3736.0,M,Timișoara,B,2016-12-12
45,63.0,185.8,83.4,3210.0,M,București,B,2015-01-30
46,66.0,168.0,68.7,3570.0,F,Cluj,B,2015-03-25
47,22.0,159.9,57.5,1880.0,F,București,B,2018-07-25
48,62.0,176.3,76.5,3787.0,M,București,B,2016-10-11
49,24.0,166.3,77.0,2903.0,F,Timișoara,A,2021-07-24
50,74.0,156.3,59.7,3778.0,F,Cluj,B,2017-09-23
51,20.0,172.0,80.3,2828.0,F,București,A,2016-05-01
52,32.0,171.4,85.9,2969.0,F,București,B,2025-09-13
53,50.0,174.2,85.6,3658.0,F,Cluj,B,2022-02-10
54,39.0,170.7,64.3,3768.0,F,Cluj,A,2016-01-07
55,38.0,174.5,66.8,,F, timișoara,A,2017-07-13
56,54.0,170.2,69.6,2981.0,F,Cluj,A,2023-12-26
57,51.0,168.0,67.5,3679.0,F, timișoara,A,2020-02-16
58,21.0,168.8,79.2,2378.0,F,Cluj,A,2019-12-03
59,72.0,170.3,79.8,4090.0,F,București,C,2016-02-05
60,61.0,164.4,82.2,4975.0,M,Cluj,B,2024-02-02
61,25.0,178.2,87.7,1707.0,F,Cluj,A,2022-12-09
62,51.0,169.4,81.7,2183.0,M,Cluj,A,2019-05-31
63,30.0,167.2,64.9,3.478,F,Timișoara,A,2020-02-08
64,40.0,176.0,88.9,3050.0,M,Timișoara,A,2017-10-23
65,,172.6,72.1,2822.0,M,București,B,2019-01-19
66,30.0,177.3,76.8,4521.0,F,Cluj,A,2017-03-17
67,39.0,163.2,45.0,2639.0,M,București,B,2015-08-17
68,29.0,166.8,53.3,2675.0,M,București,C,2018-08-18
69,70.0,178.7,73.3,4005.0,F,Timișoara,B,2017-05-14
